"Date","iOS 10.3","iOS 12.1","iOS 13.3","iOS 11.2","iOS 11.4","iOS 14.4","iOS 12.4","iOS 15.6","iOS 12.3","iOS 11.0","iOS 9.3","iOS 11.3","iOS 16.1","iOS 16.3","iOS 16.6","iOS 14.7","iOS 15.5","iOS 14.6","iOS 12.2","iOS 13.1","iOS 11.1","iOS 12.0","iOS 13.5","iOS 14.8","iOS 14.2","iOS 16.0","iOS 15.4","iOS 15.1","iOS 13.6","iOS 15.3","iOS 16.5","iOS 10.2","iOS 13.4","iOS 12.5","iOS 16.2","iOS 14.3","iOS 17.1","iOS 13.7","iOS 15.7","iOS 14.0","iOS 15.2","iOS 16.4","iOS 17.3","iOS 17.2","iOS 15.0","iOS 14.1","iOS 13.2","iOS 17.4","iOS 17.0","iOS 10.1","iOS 16.7","iOS 10.0","iOS 14.5","iOS 7.1","iOS 7.0","iOS 6.0","iOS 15.8","iOS 9.2","iOS 13.0","iOS 8.4","iOS 8.1","iOS 9.1","iOS 6.1","iOS 5.1","iOS 8.3","iOS 9.0","iOS 5.0","iOS 8.0","iOS 4.3","iOS 8.2","iOS 3.2","Other"
2017-06,66.15,0,0,0,0,0,0,0,0,0.39,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.79,0,1.58,0.5,0.14,0,0.88,0,0.7,0.7,0.45,0.35,0.37,0.47,0.27,0.15,0.19,0.09,0.16,0.04,0.06
2017-07,68.01,0,0,0,0,0,0,0,0,0.47,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,2.59,0,1.51,0.54,0.21,0,0.83,0,0.67,0.68,0.45,0.4,0.36,0.46,0.27,0.14,0.19,0.09,0.15,0.05,0.06
2017-08,71.81,0,0,0,0,0,0,0,0,0.64,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,2.22,0,1.34,0.84,0.13,0,0.74,0,0.59,0.6,0.41,0.36,0.36,0.4,0.24,0.14,0.17,0.08,0.14,0.04,0.04
2017-09,68.5,0,0,0,0,0,0,0,0,6.62,7.34,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,1.99,0,1.32,0.82,0.13,0,0.67,0,0.54,0.55,0.39,0.31,0.34,0.37,0.22,0.14,0.18,0.08,0.13,0.04,0.06
2017-10,35.5,0,0,0,0,0,0,0,0,41.99,6.93,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,1.77,0,1.21,0.65,0.11,0,0.64,0,0.49,0.52,0.34,0.26,0.31,0.32,0.2,0.13,0.16,0.14,0.11,0.03,0.06
2017-11,22.23,0,0,0.38,0,0,0,0,0,30.3,6.52,0,0,0,0,0,0,0,0,0,27.32,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,1.46,0,1.08,0.83,0.14,0,0.54,0,0.43,0.45,0.31,0.26,0.32,0.29,0.18,0.13,0.12,0.09,0.1,0.04,0.06
2017-12,17.22,0,0,21.26,0,0,0,0,0,10.41,6.03,0,0,0,0,0,0,0,0,0,33.44,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,1.21,0,0.97,0.88,0.14,0,0.49,0,0.39,0.41,0.27,0.26,0.31,0.26,0.17,0.13,0.13,0.07,0.09,0.04,0.05
2018-01,14.17,0,0,52.75,0,0,0,0,0,6.78,5.78,0.03,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,1.06,0,0.86,0.41,0.11,0,0.44,0,0.36,0.37,0.25,0.17,0.25,0.23,0.15,0.11,0.12,0.06,0.08,0.03,0.05
2018-02,12.23,0,0,61.13,0,0,0,0,0,5.1,5.36,0.32,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0.95,0,0.81,0.33,0.14,0,0.38,0,0.33,0.34,0.23,0.17,0.24,0.21,0.14,0.1,0.12,0.05,0.08,0.03,0.04
2018-03,10.56,0,0,66.23,0,0,0,0,0,3.96,4.99,0.59,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.85,0,0.69,0.72,0.15,0,0.36,0,0.31,0.32,0.24,0.19,0.28,0.19,0.14,0.1,0.11,0.05,0.07,0.02,0.04
2018-04,9.77,0,0,38.12,0.11,0,0,0,0,3.28,5.23,31.99,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0.79,0,0.7,0.29,0.14,0,0.36,0,0.33,0.34,0.27,0.19,0.24,0.2,0.14,0.11,0.1,0.05,0.08,0.03,0.04
2018-05,8.69,0,0,17.11,0.41,0,0,0,0,2.75,4.78,55.91,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.71,0,0.62,0.27,0.22,0,0.33,0,0.3,0.31,0.26,0.2,0.21,0.18,0.13,0.11,0.1,0.05,0.07,0.03,0.03
2018-06,7.9,0,0,11.53,32.53,0,0,0,0,2.29,4.55,31.71,0,0,0,0,0,0,0,0,2.65,0.2,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.64,0,0.6,0.28,0.18,0,0.31,0,0.29,0.29,0.22,0.18,0.22,0.17,0.13,0.12,0.11,0.04,0.07,0.04,0.02
2018-07,7.12,0,0,8.74,57.53,0,0,0,0,2.06,4.27,11.47,0,0,0,0,0,0,0,0,2.26,0.47,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.56,0,0.57,0.27,0.22,0,0.28,0,0.27,0.27,0.18,0.19,0.2,0.16,0.12,0.11,0.1,0.05,0.06,0.04,0.02
2018-08,6.58,0,0,7.09,64.46,0,0,0,0,2.13,4.08,7.43,0,0,0,0,0,0,0,0,2.02,0.56,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.52,0,0.55,0.26,0.18,0,0.25,0,0.26,0.26,0.18,0.18,0.2,0.15,0.11,0.09,0.09,0.04,0.06,0.03,0.02
2018-09,5.97,0.09,0,5.79,62.82,0,0,0,0,1.88,3.91,5.45,0,0,0,0,0,0,0,0,1.67,7.37,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0.47,0,0.5,0.22,0.12,0,0.23,0,0.24,0.23,0.16,0.14,0.2,0.14,0.1,0.07,0.08,0.04,0.05,0.03,0.02
2018-10,5.38,0.53,0,4.68,25.64,0,0,0,0,1.67,3.63,4.04,0,0,0,0,0,0,0,0,1.36,48.54,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.42,0,0.46,0.21,0.09,0,0.22,0,0.23,0.2,0.17,0.12,0.18,0.13,0.09,0.07,0.06,0.04,0.04,0.03,0.02
2018-11,4.9,29.88,0,3.77,15.26,0,0,0,0,1.55,3.42,3.2,0,0,0,0,0,0,0,0,1.1,32.5,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.38,0,0.45,0.2,0.18,0,0.22,0,0.21,0.19,0.18,0.16,0.18,0.11,0.08,0.06,0.07,0.04,0.04,0.02,0.02
2018-12,4.62,56.37,0,3.15,11.22,0,0,0,0,1.33,3.24,2.61,0,0,0,0,0,0,0,0,0.96,12.41,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.35,0,0.44,0.21,0.11,0,0.2,0,0.2,0.18,0.17,0.12,0.19,0.11,0.08,0.07,0.07,0.03,0.04,0.02,0.02
2019-01,4.17,67.24,0,2.68,8.68,0,0,0,0,1.13,3.04,2.2,0,0,0,0,0,0,0.02,0,0.83,6.16,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.32,0,0.45,0.21,0.14,0,0.19,0,0.2,0.18,0.16,0.13,0.16,0.11,0.08,0.06,0.07,0.03,0.04,0.02,0.02
2019-02,3.86,71.48,0,2.35,7.32,0,0,0,0,1.33,2.8,1.95,0,0,0,0,0,0,0.25,0,0.72,4.54,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.29,0,0.37,0.2,0.09,0,0.16,0,0.17,0.15,0.17,0.1,0.16,0.09,0.07,0.05,0.06,0.03,0.04,0.02,0.02
2019-03,3.62,74.5,0,2.06,6.02,0,0,0,0.01,1.36,2.74,1.73,0,0,0,0,0,0,0.93,0,0.65,3.2,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.27,0,0.32,0.2,0.07,0,0.17,0,0.16,0.15,0.18,0.09,0.15,0.09,0.06,0.05,0.07,0.03,0.03,0.02,0.02
2019-04,3.42,34.54,0,1.84,5.12,0,0,0,0.22,1,2.63,1.51,0,0,0,0,0,0,43.2,0,0.59,2.51,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.25,0,0.35,0.21,0.06,0,0.16,0,0.16,0.17,0.17,0.09,0.16,0.09,0.07,0.06,0.34,0.04,0.03,0.03,0.02
2019-05,3.2,14.03,0,1.73,4.36,0,0.06,0,3.8,0.94,2.51,1.45,0,0,0,0,0,0,62.27,0,0.53,2.02,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.23,0,0.28,0.17,0.24,0,0.14,0,0.16,0.15,0.17,0.13,0.15,0.08,0.07,0.06,0.05,0.03,0.03,0.02,0.03
2019-06,3.03,9.29,0,1.64,3.8,0,0.22,0,52.18,0.8,2.41,1.15,0,0,0,0,0,0,20.03,0,0.5,1.59,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.21,0,0.27,0.15,0.58,0,0.13,0.1,0.14,0.14,0.15,0.16,0.14,0.08,0.07,0.06,0.03,0.03,0.03,0.03,0.04
2019-07,2.87,6.69,0,1.49,3.3,0,1.2,0,67.65,0.73,2.29,1.02,0,0,0,0,0,0,6.64,0,0.46,1.33,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.2,0,0.24,0.14,1.04,0,0.13,0.48,0.14,0.12,0.32,0.23,0.14,0.07,0.08,0.06,0.03,0.03,0.03,0.03,0.02
2019-08,2.76,5.54,0,1.34,2.95,0,35.39,0,37.96,0.67,2.24,0.94,0,0,0,0,0,0,4.55,0.03,0.41,1.19,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.19,0,0.24,0.16,0.81,0,0.14,0.62,0.13,0.12,0.23,0.19,0.14,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.01
2019-09,2.49,4.31,0,1.17,2.6,0,62.6,0,10.65,0.64,2.01,0.83,0,0,0,0,0,0,2.97,2.49,0.37,0.98,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.16,0,0.19,0.16,0.48,0,0.14,3.12,0.12,0.1,0.19,0.14,0.14,0.06,0.07,0.04,0.02,0.03,0.02,0.02,0.01
