"Date","6.0 Marshmallow","10.0","9.0 Pie","7.0 Nougat","11.0","5.1 Lollipop","8.1 Oreo","8.0 Oreo","12.0","7.1 Nougat","13.0","4.4 KitKat","5.0 Lollipop","4.2 Jelly Bean","14.0","4.1 Jelly Bean","4.3 Jelly Bean","2.3 Gingerbread","4.0 Ice Cream Sandwich","2.0 Eclair","27.0","2.2 Froyo","6.1 Marshmallow","Other"
2017-06,35.44,0,0,10.89,0,23.44,0,0.01,0,1.25,0,13.75,7.78,3.07,0,1.94,1.22,0.74,0.4,0,0,0.04,0.02,0.02
2017-07,35.7,0,0,11.63,0,23.25,0,0.01,0,1.41,0,13.27,7.57,2.94,0,1.86,1.19,0.7,0.38,0,0,0.04,0.02,0.02
2017-08,36.01,0,0,13.67,0,22.26,0,0.01,0,1.79,0,12.33,7.22,2.72,0,1.71,1.13,0.71,0.35,0,0,0.05,0.02,0.02
2017-09,35.48,0,0,15.42,0,22.08,0,0.15,0,2.1,0,11.58,6.92,2.56,0,1.59,1.04,0.67,0.33,0,0,0.05,0.02,0.01
2017-10,33.99,0,0,18.65,0,21.36,0,0.25,0,2.86,0,10.82,6.37,2.31,0,1.43,0.94,0.64,0.31,0,0,0.04,0.02,0.01
2017-11,32.57,0,0,20.92,0,20.68,0.01,0.34,0,4.01,0,10.12,6.01,2.14,0,1.31,0.88,0.63,0.29,0,0,0.04,0.02,0.01
2017-12,31.07,0,0,22.74,0,20.27,0.17,0.35,0,5.15,0,9.57,5.67,2.02,0,1.24,0.81,0.58,0.28,0,0,0.04,0.02,0.02
2018-01,29.9,0,0,24.26,0,19.63,0.31,0.58,0,6.15,0,9.07,5.44,1.9,0,1.17,0.76,0.5,0.27,0,0,0.03,0.02,0.02
2018-02,28.8,0,0,25.3,0,19.25,0.36,1.05,0,6.95,0,8.7,5.17,1.84,0,1.07,0.73,0.47,0.26,0,0,0.03,0.02,0.01
2018-03,27.77,0,0,25.88,0,18.64,0.42,2.14,0,7.64,0,8.03,4.77,1.68,0,0.99,0.67,0.44,0.27,0.58,0,0.03,0.03,0.01
2018-04,26.36,0,0,24.6,0,18.05,0.66,4.49,0,8.91,0,7.59,4.5,1.57,0,0.93,0.65,0.44,0.3,0.87,0,0.03,0.03,0.01
2018-05,25.44,0,0,24.63,0,17.1,1.14,6.04,0,10.1,0,6.96,4.12,1.41,0,0.83,0.58,0.37,0.27,0.96,0,0.02,0.03,0.01
2018-06,24.55,0,0,23.85,0,15.97,1.75,8.27,0,10.73,0,6.56,3.88,1.37,0,0.81,0.56,0.38,0.26,0.99,0,0.02,0.04,0.01
2018-07,23.67,0,0,22.4,0,15.17,2.85,11.05,0,11.13,0,5.98,3.66,1.23,0,0.72,0.55,0.32,0.23,1,0,0.02,0.02,0.01
2018-08,22.83,0,0,21.57,0,14.27,4.05,13.08,0,10.97,0,5.63,3.5,1.21,0,0.7,0.52,0.3,0.22,1.1,0,0.01,0.02,0.01
2018-09,22.01,0,0,20.45,0,13.72,6.33,15.37,0,10.64,0,5.09,3.26,1.08,0,0.62,0.48,0.3,0.21,0.36,0,0.01,0.02,0.05
2018-10,21.36,0,0,18.45,0,13.38,9.07,16.8,0,10.14,0,4.94,3.2,1.04,0,0.61,0.47,0.28,0.22,0,0,0.01,0.02,0.01
2018-11,20.85,0,0.41,15.86,0,13.58,12.68,15.41,0,10.05,0,4.92,3.25,1.13,0,0.67,0.47,0.33,0.24,0,0.04,0.01,0.02,0.08
2018-12,18.86,0,1.25,13.89,0,12.04,15.98,18.78,0,9.56,0,4.15,2.76,0.97,0,0.57,0.43,0.28,0.18,0,0.09,0.02,0.02,0.18
2019-01,17.78,0,2.4,12.83,0,11.2,16.98,20.79,0,8.85,0,3.93,2.7,0.91,0,0.54,0.43,0.25,0.17,0,0.08,0.01,0.01,0.14
2019-02,17.13,0,4.8,12.05,0,10.66,17.75,20.49,0,8.53,0,3.68,2.51,0.84,0,0.51,0.33,0.23,0.18,0,0.11,0.01,0.01,0.17
2019-03,16.54,0,7.84,11.74,0,9.95,18.55,19.37,0,7.96,0,3.5,2.4,0.73,0,0.45,0.31,0.2,0.17,0,0.11,0.01,0.01,0.17
2019-04,16.14,0,11.57,11.07,0,9.66,18.8,17.04,0,7.57,0,3.49,2.38,0.79,0,0.46,0.33,0.19,0.17,0,0.13,0.01,0.01,0.19
2019-05,15.54,0,15.18,10.61,0,9.25,19.19,15.37,0,7.45,0,3.24,2.23,0.68,0,0.37,0.3,0.15,0.16,0,0.1,0.01,0.01,0.17
2019-06,15.3,0.01,19.11,10.35,0,9.04,18.23,13.67,0,7.16,0,3.11,2.2,0.64,0,0.35,0.3,0.15,0.12,0,0.08,0.01,0.01,0.14
2019-07,15.17,0.01,23.13,10.11,0,8.81,17.01,11.76,0,7.22,0,2.94,2.24,0.55,0,0.31,0.28,0.13,0.09,0,0.08,0.01,0.01,0.14
2019-08,14.09,0.02,28.44,9.17,0,8.24,16.67,10.7,0,6.67,0,2.77,2.01,0.37,0,0.2,0.22,0.13,0.05,0,0.08,0.01,0.01,0.16
2019-09,13.51,0.19,33.35,8.51,0,7.45,16.16,9.78,0,6.07,0,2.26,1.74,0.27,0,0.14,0.17,0.1,0.04,0,0.08,0.01,0.01,0.16
2019-10,13.41,0.57,35.93,7.99,0,6.42,14.62,10.18,0,5.4,0,1.97,2.71,0.24,0,0.12,0.16,0.08,0.04,0,0.05,0.01,0.01,0.1
2019-11,12.15,0.99,40.02,7.81,0,6.28,14.42,8.86,0,5.33,0,1.85,1.52,0.23,0,0.11,0.17,0.06,0.03,0,0.05,0.01,0.01,0.09
2019-12,11.26,2.15,42.72,7.27,0,5.68,13.58,8.63,0,4.98,0,1.72,1.38,0.22,0,0.11,0.15,0.05,0.02,0,0.03,0.01,0.01,0.06
2020-01,10.68,5.08,42.71,6.93,0,5.32,12.64,8.33,0,4.64,0,1.71,1.33,0.22,0,0.11,0.15,0.06,0.03,0,0.01,0.01,0.01,0.04
2020-02,10.06,8.05,42.01,6.55,0,5.01,12.17,8.08,0,4.4,0,1.66,1.26,0.26,0,0.14,0.16,0.05,0.04,0,0.02,0,0.01,0.05
2020-03,9.42,12.79,39.27,6.3,0,4.83,11.83,7.75,0,4.21,0,1.6,1.19,0.29,0,0.17,0.16,0.05,0.05,0,0.02,0,0.01,0.08
2020-04,8.75,16.59,38.08,6.09,0,4.43,11.29,7.49,0,4.09,0,1.45,1.12,0.22,0,0.13,0.13,0,0.03,0,0.01,0,0,0.07
2020-05,8.77,19.26,35.27,6.03,0,4.5,11.62,7.26,0,4.19,0,1.39,1.13,0.19,0,0.12,0.13,0,0.03,0,0.02,0,0.01,0.1
2020-06,8.46,22.7,32.92,5.95,0.02,4.35,11.49,7.09,0,3.97,0,1.38,1.09,0.2,0,0.13,0.12,0,0.03,0,0.01,0,0,0.07
2020-07,8.15,25.98,30.83,5.63,0.02,4.22,11.52,6.87,0,3.85,0,1.32,1.06,0.19,0,0.12,0.12,0,0.02,0,0.02,0,0,0.08
2020-08,7.88,29.67,28.66,5.39,0.02,4.02,11.23,6.63,0,3.69,0,1.28,1.03,0.19,0,0.12,0.11,0,0.02,0,0,0,0,0.05
2020-09,7.39,33.9,26.44,5,0.17,3.8,10.97,6.21,0,3.52,0,1.14,1.02,0.16,0,0.1,0.1,0,0.02,0,0,0,0,0.06
2020-10,6.96,37.35,24.48,4.81,0.58,3.62,10.38,5.99,0,3.37,0,1.12,0.88,0.16,0,0.09,0.1,0,0.02,0,0,0,0,0.07
2020-11,6.5,40.76,22.67,4.63,0.83,3.54,9.45,5.96,0,3.29,0,1.09,0.82,0.15,0,0.1,0.1,0,0.02,0,0,0,0,0.08
2020-12,5.96,42.89,21.8,4.2,1.4,3.29,9.96,5.24,0,3.04,0,0.99,0.75,0.15,0,0.08,0.12,0,0.02,0,0,0,0,0.08
2021-01,5.59,43.88,20.86,3.96,3.04,3.06,9.59,5.03,0,2.91,0,0.95,0.69,0.15,0,0.07,0.11,0,0.02,0,0,0,0,0.09
2021-02,5.38,42.68,20.06,3.78,6.03,2.99,9.45,4.76,0,2.85,0,0.91,0.67,0.15,0,0.06,0.13,0,0.02,0,0,0,0,0.08
2021-03,5.16,41.14,19.29,3.68,9.18,2.88,9.35,4.57,0,2.81,0,0.89,0.63,0.13,0,0.06,0.13,0,0.02,0,0,0,0,0.07
2021-04,4.99,39.23,18.17,3.92,12.71,2.83,9.17,4.34,0,2.68,0,0.87,0.63,0.14,0,0.07,0.14,0,0.02,0,0,0,0,0.08
2021-05,4.76,37.52,17.45,4.54,15.4,2.64,9.12,4.14,0,2.57,0,0.84,0.59,0.13,0,0.07,0.1,0,0.02,0,0,0,0,0.08
2021-06,4.61,36.45,17.09,4.12,17.77,2.59,9.07,3.98,0,2.57,0,0.81,0.55,0.12,0,0.06,0.08,0,0.02,0,0,0,0,0.09
2021-07,4.35,34.78,16.48,3.96,21.26,2.44,8.79,3.82,0.01,2.49,0,0.73,0.53,0.11,0,0.05,0.08,0,0.02,0,0,0,0,0.09
2021-08,4,32.51,15.18,3.54,27.06,2.24,8.08,3.54,0.01,2.26,0,0.71,0.5,0.1,0,0.05,0.1,0,0.02,0,0,0,0,0.1
2021-09,3.78,30.66,14.75,3.16,30.39,2.1,8.04,3.43,0.02,2.15,0,0.68,0.46,0.1,0,0.04,0.1,0,0.02,0,0,0,0,0.1
2021-10,3.64,29.17,14.24,2.91,33.63,1.92,7.69,3.32,0.06,2.02,0,0.62,0.43,0.09,0,0.04,0.09,0,0.02,0,0,0,0,0.1
