"Date","4.4 KitKat","5.1 Lollipop","7.0 Nougat","6.0 Marshmallow","9.0 Pie","7.1 Nougat","11.0","8.1 Oreo","5.0 Lollipop","10.0","4.2 Jelly Bean","8.0 Oreo","12.0","13.0","4.1 Jelly Bean","4.0 Ice Cream Sandwich","4.3 Jelly Bean","14.0","3.2 Honeycomb","2.3 Gingerbread","2.2 Froyo","3.0 Honeycomb","11.1","3.1 Honeycomb","6.1 Marshmallow","10.1","10.2","10.4","10.3","2.0 Eclair","Other"
2017-06,36.71,17.35,3.11,16.5,0,0.17,0,0,8.9,0,8.73,0,0,0,4.42,3.09,0.37,0,0.23,0.21,0.08,0.01,0,0.11,0,0,0,0,0,0.01,0.01
2017-07,36.24,17.63,4.16,15.92,0,0.23,0,0,8.79,0,8.5,0,0,0,4.32,3.15,0.4,0,0.23,0.2,0.09,0.01,0,0.1,0,0,0,0,0,0.01,0.01
2017-08,35.27,17.98,5.1,16.05,0,0.27,0,0,8.67,0,8.33,0,0,0,4.15,3.14,0.4,0,0.23,0.18,0.1,0.01,0,0.1,0.01,0,0,0,0,0.01,0.01
2017-09,34.82,18.01,5.94,16.47,0,0.3,0,0,8.55,0,8.03,0,0,0,4.1,2.78,0.42,0,0.22,0.16,0.08,0.01,0,0.09,0.01,0,0,0,0,0,0.01
2017-10,33.19,18.39,7.15,16.53,0,0.99,0,0,8.54,0,7.58,0.01,0,0,3.85,2.81,0.4,0,0.2,0.16,0.08,0.01,0,0.09,0.01,0,0,0,0,0,0.01
2017-11,32.4,18.7,7.88,14.33,0,3.51,0,0,8.42,0,7.36,0.01,0,0,3.67,2.74,0.39,0,0.19,0.18,0.1,0.02,0,0.08,0.01,0,0,0,0,0.01,0
2017-12,30.89,19.43,8.44,12.91,0,5.92,0,0.01,8.49,0,7.06,0.01,0,0,3.45,2.43,0.39,0,0.17,0.17,0.12,0.01,0,0.07,0.01,0,0,0,0,0,0
2018-01,30.52,20.05,9.14,12.35,0,6.73,0,0.01,8.05,0,6.64,0.01,0,0,3.21,2.29,0.37,0,0.16,0.27,0.09,0.01,0,0.06,0.01,0,0,0,0,0,0
2018-02,29.85,20.48,10.06,12.36,0,6.94,0,0.01,7.78,0,6.23,0.01,0,0,3.15,2.31,0.35,0,0.17,0.12,0.08,0,0,0.07,0.02,0,0,0,0,0,0
2018-03,29.34,22.46,10.39,10.98,0,7.14,0,0.02,7.43,0,5.9,0.01,0,0,3.07,2.34,0.43,0,0.17,0.14,0.09,0.01,0,0.07,0.02,0,0,0,0,0.01,0
2018-04,28.58,22.14,11.14,10.94,0,7.6,0,0.03,7.45,0,5.8,0.01,0,0,2.96,2.33,0.43,0,0.18,0.21,0.08,0.01,0,0.08,0.02,0,0,0,0,0,0
2018-05,28.65,22.03,11.59,10.94,0,7.81,0,0.03,7.21,0,5.64,0.04,0,0,2.8,2.29,0.41,0,0.17,0.21,0.07,0.01,0,0.07,0.02,0,0,0,0,0.01,0
2018-06,28.77,22.46,11.32,10.52,0,7.95,0,0.02,6.96,0,5.71,0.48,0,0,2.62,2.24,0.39,0,0.17,0.19,0.07,0.01,0,0.07,0.03,0,0,0,0,0.01,0
2018-07,28.65,22.7,11.66,10.55,0,8.11,0,0.04,6.83,0,5.41,0.64,0,0,2.47,2.13,0.38,0,0.15,0.11,0.06,0.01,0,0.06,0.03,0,0,0,0,0,0
2018-08,28.15,22.6,12.04,10.92,0,8.08,0,0.07,6.89,0,5.34,0.71,0,0,2.42,2.04,0.33,0,0.15,0.1,0.05,0,0,0.06,0.03,0,0,0,0,0.01,0
2018-09,25.87,23.38,13.23,10.84,0,8.64,0,0.13,6.85,0,5.07,0.85,0,0,2.34,2.09,0.31,0,0.14,0.09,0.05,0,0,0.06,0.04,0,0,0,0,0.01,0
2018-10,25.47,23.73,13.33,10.65,0,8.38,0,0.3,7.14,0,5.04,0.85,0,0,2.34,2.12,0.27,0,0.14,0.08,0.05,0.01,0,0.06,0.03,0,0,0,0,0.01,0
2018-11,26.05,26.3,10.47,10.08,0.01,6.54,0,1.08,7.09,0,5.79,0.38,0,0,2.9,2.61,0.22,0,0.17,0.11,0.06,0.01,0,0.08,0.04,0,0,0,0,0.01,0
2018-12,26.31,23.73,9.04,9.41,0.01,8.13,0,6.14,6.04,0,5.11,0.31,0,0,2.82,2.33,0.21,0,0.13,0.09,0.05,0.02,0,0.07,0.03,0,0,0,0,0.01,0
2019-01,26.37,23.67,7.54,9.07,0.02,8.5,0,8.45,5.73,0,5.04,0.3,0,0,2.43,2.28,0.18,0,0.13,0.08,0.07,0.05,0,0.06,0.03,0,0,0,0,0.01,0.01
2019-02,25.09,24.16,7.47,8.88,0.03,8.96,0,9.71,5.56,0,4.62,0.32,0,0,2.29,2.26,0.18,0,0.12,0.08,0.08,0.07,0,0.05,0.03,0,0,0,0,0.01,0.04
2019-03,22.98,22.83,9.8,9.61,0.03,9.51,0,9.72,6.09,0,4.04,1.1,0,0,1.9,1.81,0.22,0,0.09,0.07,0.05,0.04,0,0.04,0.03,0,0,0,0,0.01,0.01
2019-04,22.71,22.76,9.54,9.8,0.06,9.4,0,10.03,6,0,4.18,1.11,0,0,1.98,1.78,0.27,0,0.1,0.07,0.08,0.06,0,0.05,0.03,0,0,0,0,0.01,0
2019-05,22.31,21.9,12,9.64,0.16,9.23,0,10.22,5.81,0,3.66,1.11,0,0,1.72,1.68,0.22,0,0.08,0.05,0.05,0.05,0,0.04,0.03,0,0,0,0,0.01,0
2019-06,24.48,22.19,9.25,9.08,0.25,9.75,0,10.78,5.53,0,3.67,1.09,0,0,1.65,1.65,0.26,0,0.09,0.05,0.06,0.07,0,0.05,0.04,0,0,0,0,0.01,0
2019-07,26.45,22.41,8.63,8.47,0.4,9.54,0,10.61,5.29,0,3.44,1.08,0,0,1.53,1.61,0.24,0,0.09,0.06,0.04,0.02,0,0.05,0.04,0,0,0,0,0.01,0
2019-08,25.22,23.11,8.87,8.77,0.53,10.24,0,11.46,5.48,0,2.42,1.17,0,0,0.88,1.39,0.16,0,0.09,0.07,0.04,0.03,0,0.04,0.03,0,0,0,0,0.01,0
2019-09,21.48,22.31,10.44,8.68,3.42,10.39,0,11.85,5.28,0,2,1.6,0,0,0.7,1.36,0.14,0,0.08,0.1,0.04,0.04,0,0.04,0.02,0,0,0,0,0.01,0
2019-10,18.18,23.48,10.58,9.03,5.5,10.36,0,12.13,5.17,0.01,1.88,1.3,0,0,0.64,1.25,0.13,0,0.07,0.11,0.04,0.04,0,0.04,0.03,0,0,0,0,0.01,0.01
2019-11,21.28,21.32,10.93,8.36,6.49,10.08,0,11.13,4.88,0.01,1.78,1.7,0,0,0.56,1.12,0.11,0,0.07,0.06,0.02,0.02,0,0.03,0.02,0,0,0,0,0.01,0.02
2019-12,19.54,20.31,11.1,7.95,8.39,10.7,0,11.27,4.83,0.02,1.71,2.1,0,0,0.55,1.18,0.12,0,0.07,0.06,0.03,0.02,0,0.03,0.02,0,0,0,0,0.01,0.01
2020-01,18.81,19.29,10.88,7.65,10.44,10.86,0,11.05,4.58,0.02,1.75,2.48,0,0,0.58,1.26,0.11,0,0.07,0.06,0.02,0.01,0,0.03,0.02,0,0,0,0,0.01,0.02
2020-02,17.51,18.98,10.9,7.59,11.56,10.87,0,11.13,4.37,0.04,2.02,2.62,0,0,0.84,1.22,0.14,0,0.06,0.05,0.03,0.01,0,0.03,0.02,0,0,0,0,0.01,0.02
2020-03,17.16,18.25,10.83,7.43,12.65,10.69,0,10.86,4.24,0.04,2.25,2.87,0,0,1.01,1.33,0.17,0,0.06,0.04,0.02,0.01,0,0.03,0.02,0,0,0,0,0.02,0.01
2020-04,15.66,18.06,11.16,7.59,14.15,11.18,0,10.98,4.17,0.16,1.74,3.07,0,0,0.73,1.09,0.12,0,0.03,0.02,0.01,0.02,0,0.01,0.02,0,0,0,0,0.02,0.02
2020-05,15.27,17.93,11.11,7.71,14.65,11.04,0,11.12,4.14,0.63,1.45,3.3,0,0,0.5,0.96,0.1,0,0,0.02,0,0.01,0,0,0.02,0,0,0,0,0.02,0.02
