"Date","Sony PS4","Sony PS3","Edge Legacy","Edge","IE","NetFront NX","Opera","Unknown","Android","Chrome","Other"
2012-08,0,89.83,0,0,0,0,10.17,0,0,0,0
2012-09,0,90.57,0,0,0,0,9.43,0,0,0,0
2012-10,0,91.69,0,0,0,0,8.31,0,0,0,0
2012-11,0,91.27,0,0,0,0,8.41,0.32,0,0,0
2012-12,0,90.27,0,0,0,0,7.68,2.05,0,0,0
2013-01,0,89.32,0,0,0,0,7.06,3.62,0,0,0
2013-02,0,88.23,0,0,0,0,7.46,4.31,0,0,0
2013-03,0,87.36,0,0,0,0,7.66,4.98,0,0,0
2013-04,0,87.01,0,0,0,0,7.67,5.32,0,0,0
2013-05,0,86.45,0,0,0,0,7.79,5.76,0,0,0
2013-06,0,84.85,0,0,0,0,8.2,6.95,0,0,0
2013-07,0,84.47,0,0,0,0,8.02,7.51,0,0,0
2013-08,0,84.37,0,0,0,0,7.67,7.95,0,0,0
2013-09,0,83.71,0,0,0,0,7.81,8.48,0,0,0
2013-10,0,84.25,0,0,0,0,7.36,8.38,0,0,0
2013-11,0,83.08,0,0,0,0,7.35,9.57,0,0,0
2013-12,0,70.27,0,0,10.82,0,6.37,12.54,0,0,0
2014-01,2.43,61.86,0,0,16.17,3.77,5.21,10.55,0,0,0
2014-02,6.99,59.64,0,0,18.75,9.87,4.74,0,0,0,0
2014-03,8.01,58.07,0,0,19.15,10.28,4.49,0,0,0,0
2014-04,9.46,55.25,0,0,20.31,10.57,4.42,0,0,0,0
2014-05,10.82,52.16,0,0,21.11,11.56,4.36,0,0,0,0
2014-06,12.08,45.98,0,0,24.49,13.09,4.36,0,0,0,0
2014-07,14.27,39.74,0,0,26.86,15.06,4.07,0,0,0,0
2014-08,17.44,37.54,0,0,27.29,13.76,3.97,0,0,0,0
2014-09,19.15,37.89,0,0,25.73,13.55,3.67,0,0,0,0
2014-10,19.91,39.54,0,0,24.53,12.91,3.1,0,0,0,0
2014-11,20.5,41.72,0,0,23.42,11.51,2.85,0,0,0,0
2014-12,26.82,32.48,0,0,25.63,12.43,2.64,0,0,0,0
2015-01,32.11,27.47,0,0,27.21,11.17,2.04,0,0,0,0
2015-02,34.67,25.68,0,0,27.1,10.67,1.89,0,0,0,0
2015-03,34.15,25.68,0,0,27.15,10.88,2.14,0,0,0,0
2015-04,36.92,26.97,0,0,25.4,9.15,1.55,0,0,0,0
2015-05,33.1,29.26,0,0,26.03,10.18,1.42,0,0,0,0
2015-06,36.12,25.13,0,0,26.38,10.8,1.57,0,0,0,0
2015-07,37.06,22.89,0,0,28.17,10.35,1.52,0,0,0,0
2015-08,37.84,23.22,0,0,29.11,8.54,1.29,0,0,0,0
2015-09,40.79,24.08,0.01,0,25.89,8.04,1.18,0,0,0,0
2015-10,43.28,22.52,0,0,24.96,7.45,1.11,0,0,0.68,0
2015-11,45.56,20.91,10.31,0,13.83,7.31,1.12,0,0,0.96,0
2015-12,47.81,18.75,19.32,0,6.34,6.86,0.92,0,0,0,0
2016-01,51.88,16.24,19.23,0,5.68,6.27,0.71,0,0,0,0
2016-02,54.05,13.65,21,0,5.14,5.56,0.58,0,0,0,0
2016-03,56.25,13.76,18.11,0,5.18,6.09,0.6,0,0,0,0
2016-04,55.86,13.24,19.53,0,5.06,5.73,0.57,0,0,0,0
2016-05,61.47,9.98,17.87,0,4.32,5.95,0.4,0,0,0,0
2016-06,61.96,8.82,18.74,0,4.51,5.47,0.47,0,0.01,0.01,0
2016-07,57.79,9.48,21.47,0,4.62,6.08,0.52,0,0.02,0.01,0
2016-08,59.52,9.22,21.09,0,4.05,5.62,0.45,0,0.05,0.01,0
2016-09,62.79,9.42,18.71,0,3.48,5.1,0.43,0,0.07,0.02,0
2016-10,60.44,8.82,21.4,0,3.57,5.21,0.42,0,0.1,0.03,0
2016-11,61.08,8.17,21.91,0,3.24,5.06,0.4,0,0.1,0.04,0
2016-12,61.17,7.74,23.02,0,3.03,4.48,0.41,0,0.11,0.04,0
2017-01,61.94,6.89,24,0,2.64,3.97,0.39,0,0.13,0.04,0
2017-02,63.89,6.4,23.02,0,2.53,3.61,0.39,0,0.14,0.03,0
2017-03,64.28,6.02,23.2,0,2.51,3.42,0.38,0,0.15,0.04,0
2017-04,65.81,5.73,22.42,0,2.29,3.21,0.35,0,0.16,0.04,0
2017-05,64.64,6.25,22.97,0,2.26,3.24,0.42,0,0.15,0.06,0
2017-06,62.45,7.05,23.26,0,2.71,3.53,0.81,0,0.14,0.06,0
2017-07,62.89,5.91,24.43,0,2.41,3.45,0.71,0,0.15,0.06,0
2017-08,62.49,5.29,26.1,0,2.14,3.19,0.58,0,0.14,0.06,0
2017-09,26.95,1.84,69.08,0,0.76,1.09,0.17,0,0.05,0.06,0
2017-10,36.09,2.17,59.26,0,0.9,1.33,0.15,0,0.06,0.03,0
2017-11,65.92,4.56,24.38,0,1.92,2.8,0.26,0,0.12,0.05,0
2017-12,66.18,4.6,24.7,0,1.6,2.53,0.26,0,0.1,0.04,0
2018-01,64.67,5.84,23.79,0,1.91,3.17,0.43,0,0.14,0.05,0
2018-02,68.25,4.56,22.04,0,1.74,2.94,0.3,0,0.12,0.05,0
2018-03,68.06,4.5,22.22,0,1.85,2.9,0.27,0,0.15,0.04,0
2018-04,68.37,4.97,21.31,0,1.74,3.1,0.29,0,0.18,0.04,0.01
2018-05,65.79,4.8,24.17,0,1.82,3.01,0.26,0,0.11,0.04,0
2018-06,65.12,5.22,23.77,0,2.12,3.23,0.33,0,0.14,0.06,0.01
2018-07,65.28,4.91,23.98,0,2.13,3.25,0.28,0,0.13,0.04,0.01
2018-08,67.94,5.46,21.41,0,1.77,2.94,0.23,0,0.19,0.05,0.01
2018-09,66.83,6.3,21.6,0,1.8,2.8,0.2,0,0.41,0.06,0
2018-10,64,5.59,23.93,0,1.57,4.51,0.16,0,0.19,0.05,0
2018-11,59.86,5.5,25.3,0,1.66,7.24,0.18,0,0.2,0.05,0
2018-12,65.04,5.16,25.5,0,1.63,2.26,0.22,0,0.13,0.05,0
2019-01,63.13,4.49,28.41,0,1.51,2.11,0.2,0,0.11,0.04,0
2019-02,58.09,4.36,33.93,0,1.22,2.1,0.18,0,0.09,0.03,0
2019-03,59.04,4.39,33.39,0,1.09,1.83,0.15,0,0.08,0.03,0
2019-04,57.34,3.76,36.11,0,1.08,1.51,0.1,0,0.07,0.03,0
2019-05,51.77,4.09,41.71,0,1.09,1.02,0.22,0,0.07,0.03,0
2019-06,44.83,3.39,49.73,0,0.97,0.85,0.14,0,0.06,0.02,0
2019-07,42.45,3.11,52.49,0,0.92,0.76,0.19,0,0.06,0.02,0
2019-08,57.56,4.86,35.54,0,0.43,1.12,0.33,0,0.13,0.02,0
2019-09,58.75,5.06,34.58,0,0.17,1.1,0.17,0,0.13,0.03,0
2019-10,62.49,4.06,31.96,0,0.17,1.05,0.12,0,0.12,0.03,0
2019-11,64.83,3.62,30.17,0,0.19,0.95,0.09,0,0.12,0.04,0
2019-12,64.71,3.58,30.34,0,0.22,0.95,0.06,0,0.1,0.04,0.01
2020-01,64.29,3.79,30.71,0,0.16,0.8,0.08,0,0.12,0.06,0
2020-02,55.11,2.59,40.96,0,0.54,0.61,0.07,0,0.07,0.05,0
2020-03,41.23,0.21,57.61,0,0.39,0.44,0,0,0.06,0.05,0
2020-04,40.11,0.76,58.29,0,0.29,0.45,0,0,0.05,0.04,0.01
2020-05,65.8,0.19,32.96,0,0.31,0.55,0,0,0.1,0.06,0.02
2020-06,64.45,0.22,35.08,0,0.1,0,0,0,0.08,0.06,0
2020-07,63.1,0.3,36.22,0,0.11,0,0,0,0.16,0.11,0
2020-08,63.95,0.26,35.53,0,0.14,0,0.01,0,0.07,0.04,0
2020-09,66.07,0.26,33.5,0,0.04,0,0,0,0.07,0.05,0
2020-10,64.81,0.28,34.75,0,0.03,0,0,0,0.07,0.06,0
2020-11,62.35,0.27,37.2,0,0.06,0,0.01,0,0.06,0.05,0
2020-12,64.79,0.26,34.81,0.01,0.03,0,0.01,0,0.05,0.04,0
2021-01,61.29,1.6,36.99,0,0.02,0,0.01,0,0.04,0.04,0
2021-02,62.86,1.46,35.58,0.01,0.01,0,0.02,0,0.03,0.03,0
2021-03,64.15,1.64,34.09,0.02,0.01,0,0.02,0,0.04,0.04,0
2021-04,64.79,1.87,33.12,0.01,0.04,0,0.05,0,0.03,0.09,0
2021-05,56.26,1.53,42.04,0.01,0.01,0,0.03,0,0.03,0.09,0
2021-06,57.23,2.22,40.39,0.01,0.03,0,0.01,0,0.04,0.08,0
2021-07,55.94,2.23,41.72,0,0.03,0,0.01,0,0.03,0.04,0
2021-08,50.88,1.23,47.78,0,0.02,0,0.01,0,0.03,0.05,0
2021-09,57.58,1.03,41.28,0.01,0.02,0,0.02,0,0.03,0.04,0
2021-10,88.29,2.58,8.81,0.02,0.04,0.01,0.08,0,0.07,0.1,0
2021-11,88.84,2.61,8.06,0.26,0.08,0,0.02,0,0.09,0.04,0
2021-12,89.64,2.6,7.4,0.12,0.08,0.01,0.03,0,0.09,0.03,0
2022-01,90.5,2.53,6.56,0.15,0.05,0.03,0.06,0,0.08,0.04,0
2022-02,86.82,2.49,7.78,2.63,0.06,0.03,0.07,0,0.08,0.04,0
2022-03,84.94,2.45,7.86,4.41,0.15,0.01,0.07,0.01,0.04,0.06,0
2022-04,85.39,2.46,7.48,4.27,0.25,0.01,0.05,0,0.05,0.02,0.01
2022-05,83.83,2.7,8.25,4.88,0.16,0.01,0.05,0,0.05,0.06,0.01
2022-06,82.95,2.77,8.75,5.35,0.04,0.01,0.02,0.01,0.06,0.03,0
2022-07,83.09,2.89,8.88,5.04,0.02,0.01,0.02,0,0.02,0.02,0
2022-08,84.05,3.02,7.59,5.21,0.03,0.01,0.02,0.01,0.03,0.03,0
2022-09,84.16,2.63,7.56,5.35,0.04,0.01,0.02,0.01,0.11,0.11,0
2022-10,83.81,2.45,8.26,5.32,0.05,0.02,0.02,0.01,0.02,0.05,0
2022-11,86.09,2.61,8.62,2.44,0.07,0.02,0.03,0.01,0.02,0.12,0
2022-12,84.16,3,10.23,2.33,0.08,0.02,0.04,0.01,0.05,0.1,0
2023-01,82.69,2.5,11.81,2.72,0.06,0.02,0.02,0.01,0.07,0.09,0
2023-02,80.15,5.91,11.41,2.28,0.07,0.02,0.03,0.01,0.05,0.07,0
2023-03,82.55,2.52,11.89,2.68,0.16,0.03,0.04,0.01,0.05,0.08,0
2023-04,82,2.34,12.82,2.47,0.12,0.04,0.04,0.03,0.06,0.08,0
2023-05,2.83,0.08,0.45,96.63,0.01,0,0,0,0,0,0
2023-06,2.28,0.06,0.48,97.17,0,0,0,0,0,0,0
2023-07,3.11,0.07,0.72,96.08,0.01,0,0,0,0,0.01,0
2023-08,3.01,0.02,0.5,96.35,0.01,0,0,0,0,0.1,0
2023-09,3.09,0.04,0.64,96.21,0.01,0,0,0,0,0.01,0
2023-10,2.35,0.02,0.59,97.03,0,0,0,0,0,0.01,0
2023-11,2.71,0.02,0.35,96.84,0,0,0,0,0,0.07,0
2023-12,24.27,0.24,2.24,73.11,0.02,0.01,0.01,0,0.02,0.08,0
2024-01,36.36,0.33,3.29,59.8,0.04,0.01,0.01,0.01,0.02,0.14,0
2024-02,36.15,0.42,2.87,60.27,0.05,0.01,0.01,0.01,0.02,0.18,0
2024-03,37.82,0.42,3.05,58.39,0.08,0.02,0.02,0.01,0.03,0.16,0
2024-04,38.38,0.46,2.69,58.13,0.06,0.02,0.02,0.01,0.1,0.13,0.01
