"Date","iOS 10.3","iOS 9.3","iOS 12.1","iOS 11.2","iOS 12.4","iOS 11.4","iOS 12.5","iOS 11.0","iOS 12.3","iOS 11.3","iOS 12.2","iOS 12.0","iOS 11.1","iOS 13.3","iOS 10.2","iOS 14.4","iOS 15.6","iOS 7.0","iOS 16.3","iOS 14.7","iOS 14.6","iOS 16.6","iOS 10.1","iOS 15.5","iOS 5.1","iOS 14.8","iOS 13.5","iOS 10.0","iOS 8.4","iOS 15.7","iOS 8.1","iOS 13.6","iOS 7.1","iOS 14.2","iOS 15.4","iOS 15.3","iOS 13.4","iOS 13.1","iOS 15.1","iOS 13.7","iOS 16.5","iOS 9.2","iOS 16.2","iOS 6.0","iOS 14.3","iOS 9.1","iOS 8.3","iOS 17.1","iOS 6.1","iOS 17.3","iOS 15.2","iOS 5.0","iOS 17.2","iOS 16.4","iOS 14.0","iOS 16.1","iOS 14.1","iOS 15.0","iOS 13.2","iOS 16.7","iOS 9.0","iOS 17.4","iOS 8.0","iOS 8.2","iOS 4.3","iOS 14.5","iOS 15.8","iOS 3.2","iOS 17.0","iOS 4.2","iOS 16.0","iOS 13.0","Other"
2017-06,53.34,20.9,0,0,0,0,0,0.29,0,0,0,0,0,0,7.99,0,0,1.22,0,0,0,0,2.84,0,1.55,0,0,2.77,1.39,0,1.39,0,1.31,0,0,0,0,0,0,0,0,0.96,0,0.37,0,0.43,0.83,0,0.49,0,0,0.47,0,0,0,0,0,0,0,0,0.33,0,0.3,0.26,0.29,0,0,0.2,0,0.05,0,0,0.01
2017-07,54.93,20.63,0,0,0,0,0,0.36,0,0,0,0,0,0,7.1,0,0,1.29,0,0,0,0,2.67,0,1.45,0,0,2.57,1.38,0,1.36,0,1.31,0,0,0,0,0,0,0,0,0.91,0,0.5,0,0.42,0.82,0,0.5,0,0,0.43,0,0,0,0,0,0,0,0,0.31,0,0.28,0.26,0.26,0,0,0.2,0,0.04,0,0,0.01
2017-08,57.66,20.22,0,0,0,0,0,0.49,0,0,0,0,0,0,5.52,0,0,1.88,0,0,0,0,2.15,0,1.44,0,0,2.23,1.3,0,1.27,0,1.21,0,0,0,0,0,0,0,0,0.86,0,0.33,0,0.41,0.76,0,0.53,0,0,0.41,0,0,0,0,0,0,0,0,0.31,0,0.3,0.25,0.27,0,0,0.17,0,0.04,0,0,0.01
2017-09,56.93,19.3,0,0,0,0,0,3.97,0,0,0,0,0.01,0,4.63,0,0,1.85,0,0,0,0,1.93,0,1.32,0,0,2.01,1.21,0,1.21,0,1.21,0,0,0,0,0,0,0,0,0.79,0,0.33,0,0.38,0.71,0,0.52,0,0,0.41,0,0,0,0,0,0,0,0,0.29,0,0.3,0.23,0.26,0,0,0.17,0,0.03,0,0,0.01
2017-10,33.81,18.66,0,0,0,0,0,29.22,0,0,0,0,0.31,0,3.94,0,0,1.66,0,0,0,0,1.7,0,1.26,0,0,1.81,1.15,0,1.09,0,1.08,0,0,0,0,0,0,0,0,0.72,0,0.31,0,0.35,0.63,0,0.48,0,0,0.4,0,0,0,0,0,0,0,0,0.26,0,0.23,0.21,0.53,0,0,0.15,0,0.05,0,0,0.01
2017-11,23.48,17.98,0,0.22,0,0,0,25.2,0,0,0,0,16.02,0,3.39,0,0,2.34,0,0,0,0,1.53,0,1.3,0,0,1.54,1,0,1.02,0,0.99,0,0,0,0,0,0,0,0,0.65,0,0.42,0,0.32,0.57,0,0.49,0,0,0.39,0,0,0,0,0,0,0,0,0.24,0,0.19,0.2,0.31,0,0,0.19,0,0.03,0,0,0.01
2017-12,19.5,17.47,0,13.66,0,0,0,10.92,0,0,0,0,22,0,2.98,0,0,2.75,0,0,0,0,1.35,0,1.3,0,0,1.36,0.94,0,0.96,0,0.88,0,0,0,0,0,0,0,0,0.61,0,0.47,0,0.33,0.53,0,0.51,0,0,0.41,0,0,0,0,0,0,0,0,0.24,0,0.21,0.18,0.24,0,0,0.17,0,0.03,0,0,0.01
2018-01,17.27,17.35,0,36.75,0,0,0,7.14,0,0.02,0,0,7.96,0,2.62,0,0,1.33,0,0,0,0,1.23,0,1.1,0,0,1.22,0.91,0,0.9,0,0.81,0,0,0,0,0,0,0,0,0.55,0,0.32,0,0.3,0.51,0,0.41,0,0,0.36,0,0,0,0,0,0,0,0,0.22,0,0.19,0.17,0.16,0,0,0.15,0,0.03,0,0,0.01
2018-02,15.82,16.94,0,43.93,0,0,0,5.38,0,0.22,0,0,5.19,0,2.37,0,0,1.1,0,0,0,0,1.14,0,1.09,0,0,1.12,0.87,0,0.85,0,0.78,0,0,0,0,0,0,0,0,0.52,0,0.3,0,0.29,0.48,0,0.38,0,0,0.35,0,0,0,0,0,0,0,0,0.22,0,0.17,0.17,0.16,0,0,0.13,0,0.03,0,0,0.01
2018-03,14.1,15.99,0,47.9,0,0,0,4.03,0,0.42,0,0,3.6,0,2.1,0,0,2.81,0,0,0,0,1,0,1.25,0,0,1.01,0.8,0,0.81,0,0.75,0,0,0,0,0,0,0,0,0.49,0,0.49,0,0.34,0.45,0,0.48,0,0,0.32,0,0,0,0,0,0,0,0,0.22,0,0.17,0.16,0.15,0,0,0.12,0,0.03,0,0,0.01
