"Date","iOS 10.3","iOS 13.3","iOS 12.1","iOS 11.2","iOS 11.4","iOS 14.4","iOS 12.4","iOS 15.6","iOS 16.1","iOS 16.3","iOS 12.3","iOS 16.6","iOS 11.0","iOS 15.5","iOS 14.7","iOS 11.3","iOS 14.6","iOS 13.1","iOS 13.5","iOS 12.2","iOS 14.8","iOS 14.2","iOS 16.0","iOS 11.1","iOS 12.0","iOS 15.4","iOS 15.1","iOS 15.3","iOS 13.6","iOS 16.5","iOS 13.4","iOS 16.2","iOS 10.2","iOS 14.3","iOS 17.1","iOS 14.0","iOS 13.7","iOS 15.7","iOS 15.2","iOS 16.4","iOS 17.3","iOS 15.0","iOS 17.2","iOS 12.5","iOS 9.3","iOS 14.1","iOS 13.2","iOS 17.0","iOS 17.4","iOS 16.7","iOS 14.5","iOS 10.1","iOS 10.0","iOS 7.1","iOS 15.8","iOS 13.0","iOS 6.0","iOS 9.2","iOS 9.1","iOS 6.1","iOS 8.1","iOS 8.4","iOS 7.0","iOS 9.0","iOS 8.3","iOS 8.0","iOS 4.3","iOS 8.2","iOS 5.0","iOS 5.1","Other"
2017-06,69.83,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,3.04,2.8,1.66,0,0,0.08,0.86,0.46,0.3,0.49,0.5,0.29,0.26,0.36,0.16,0.03,0.13,0.06,0.04,0.05
2017-07,71.9,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,2.82,2.6,1.58,0,0,0.12,0.81,0.46,0.37,0.47,0.46,0.32,0.25,0.35,0.16,0.04,0.12,0.05,0.04,0.06
2017-08,75.71,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,2.36,2.21,1.38,0,0,0.07,0.71,0.41,0.32,0.41,0.39,0.55,0.22,0.3,0.13,0.03,0.11,0.06,0.07,0.04
2017-09,71.75,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,2.07,1.99,1.35,0,0,0.07,0.64,0.39,0.26,0.37,0.35,0.54,0.2,0.27,0.15,0.03,0.1,0.06,0.06,0.06
2017-10,35.98,0,0,0,0,0,0,0,0,0,0,0,45.57,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,1.79,1.76,1.24,0,0,0.05,0.62,0.34,0.2,0.36,0.31,0.37,0.18,0.24,0.14,0.03,0.09,0.06,0.05,0.06
2017-11,21.89,0,0,0.42,0,0,0,0,0,0,0,0,31.73,0,0,0,0,0,0,0,0,0,0,30.47,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,1.52,1.44,1.1,0,0,0.05,0.51,0.31,0.2,0.3,0.27,0.41,0.17,0.21,0.1,0.03,0.08,0.06,0.05,0.07
2017-12,16.62,0,0,23.27,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,36.45,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,1.29,1.18,0.99,0,0,0.05,0.46,0.26,0.19,0.27,0.25,0.38,0.15,0.18,0.12,0.03,0.07,0.06,0.05,0.06
2018-01,13.36,0,0,56.96,0,0,0,0,0,0,0,0,6.68,0,0,0.03,0,0,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,1.12,1.01,0.88,0,0,0.05,0.4,0.23,0.11,0.23,0.22,0.17,0.13,0.16,0.11,0.03,0.06,0.04,0.03,0.06
2018-02,11.34,0,0,65.41,0,0,0,0,0,0,0,0,5.03,0,0,0.35,0,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,1,0.9,0.82,0,0,0.1,0.35,0.21,0.12,0.21,0.19,0.13,0.12,0.14,0.1,0.03,0.05,0.04,0.03,0.04
2018-03,9.65,0,0,70.94,0,0,0,0,0,0,0,0,3.95,0,0,0.64,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0.9,0.81,0.67,0,0,0.06,0.32,0.21,0.12,0.2,0.18,0.18,0.12,0.13,0.1,0.02,0.05,0.04,0.03,0.03
2018-04,8.74,0,0,39.92,0.11,0,0,0,0,0,0,0,3.24,0,0,35.02,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0.84,0.75,0.69,0,0,0.1,0.32,0.24,0.13,0.21,0.2,0.13,0.13,0.13,0.08,0.03,0.05,0.05,0.02,0.03
2018-05,7.67,0,0,17.45,0.43,0,0,0,0,0,0,0,2.71,0,0,60.15,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0.76,0.67,0.6,0,0,0.18,0.29,0.22,0.15,0.2,0.17,0.13,0.12,0.12,0.08,0.03,0.05,0.06,0.02,0.03
2018-06,6.91,0,0,11.76,35.17,0,0,0,0,0,0,0,2.28,0,0,33.28,0,0,0,0,0,0,0,2.82,0.23,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0.76,0.59,0.6,0,0,0.15,0.26,0.18,0.14,0.18,0.16,0.14,0.11,0.11,0.1,0.02,0.05,0.06,0.02,0.03
